============================================================
PYTORCH EXPERIMENT
============================================================

PyTorch device: cuda

============================================================
PyTorch: Training depth=1, d_model=128, d_ff=512
============================================================
  Parameters: 2,531,318
  Epoch  1/20 | Train loss: 5.6669 | Dev loss: 4.1565 | Time: 4.2s
  Epoch  2/20 | Train loss: 3.8189 | Dev loss: 3.5451 | Time: 3.5s
  Epoch  3/20 | Train loss: 3.3554 | Dev loss: 3.2759 | Time: 3.5s
  Epoch  4/20 | Train loss: 3.0594 | Dev loss: 3.0853 | Time: 4.1s
  Epoch  5/20 | Train loss: 2.8267 | Dev loss: 2.9524 | Time: 3.6s
  Epoch  6/20 | Train loss: 2.6288 | Dev loss: 2.8571 | Time: 3.5s
  Epoch  7/20 | Train loss: 2.4522 | Dev loss: 2.7683 | Time: 3.7s
  Epoch  8/20 | Train loss: 2.2910 | Dev loss: 2.7016 | Time: 4.0s
  Epoch  9/20 | Train loss: 2.1406 | Dev loss: 2.6473 | Time: 3.5s
  Epoch 10/20 | Train loss: 1.9961 | Dev loss: 2.6084 | Time: 3.5s
  Epoch 11/20 | Train loss: 1.8580 | Dev loss: 2.5797 | Time: 4.1s
  Epoch 12/20 | Train loss: 1.7251 | Dev loss: 2.5446 | Time: 3.5s
  Epoch 13/20 | Train loss: 1.5975 | Dev loss: 2.5194 | Time: 3.5s
  Epoch 14/20 | Train loss: 1.4769 | Dev loss: 2.5007 | Time: 3.7s
  Epoch 15/20 | Train loss: 1.3597 | Dev loss: 2.4832 | Time: 3.9s
  Epoch 16/20 | Train loss: 1.2481 | Dev loss: 2.4973 | Time: 3.5s
  Epoch 17/20 | Train loss: 1.1433 | Dev loss: 2.4896 | Time: 3.5s
  Epoch 18/20 | Train loss: 1.0445 | Dev loss: 2.4871 | Time: 4.1s
  Epoch 19/20 | Train loss: 0.9537 | Dev loss: 2.5006 | Time: 3.5s
  Epoch 20/20 | Train loss: 0.8681 | Dev loss: 2.5311 | Time: 3.5s

  Test loss: 2.4472
  Computing exact match on test set...
  Exact match accuracy: 0.00%

  >> depth=1: train=0.8681 | dev=2.5311 | test=2.4472 | exact_match=0.0%

============================================================
PyTorch: Training depth=1, d_model=256, d_ff=1024
============================================================
  Parameters: 5,446,774
  Epoch  1/20 | Train loss: 4.6890 | Dev loss: 3.5464 | Time: 5.4s
  Epoch  2/20 | Train loss: 3.2710 | Dev loss: 3.1038 | Time: 5.2s
  Epoch  3/20 | Train loss: 2.8186 | Dev loss: 2.8658 | Time: 5.4s
  Epoch  4/20 | Train loss: 2.4842 | Dev loss: 2.6910 | Time: 5.3s
  Epoch  5/20 | Train loss: 2.2045 | Dev loss: 2.5676 | Time: 5.3s
  Epoch  6/20 | Train loss: 1.9553 | Dev loss: 2.4992 | Time: 5.5s
  Epoch  7/20 | Train loss: 1.7269 | Dev loss: 2.4051 | Time: 5.4s
  Epoch  8/20 | Train loss: 1.5164 | Dev loss: 2.3469 | Time: 5.5s
  Epoch  9/20 | Train loss: 1.3233 | Dev loss: 2.3421 | Time: 5.3s
  Epoch 10/20 | Train loss: 1.1485 | Dev loss: 2.2939 | Time: 5.4s
  Epoch 11/20 | Train loss: 0.9901 | Dev loss: 2.2904 | Time: 5.4s
  Epoch 12/20 | Train loss: 0.8480 | Dev loss: 2.2836 | Time: 5.3s
  Epoch 13/20 | Train loss: 0.7265 | Dev loss: 2.3156 | Time: 5.5s
  Epoch 14/20 | Train loss: 0.6202 | Dev loss: 2.3450 | Time: 5.2s
  Epoch 15/20 | Train loss: 0.5300 | Dev loss: 2.3907 | Time: 5.4s
  Epoch 16/20 | Train loss: 0.4525 | Dev loss: 2.4257 | Time: 5.3s
  Epoch 17/20 | Train loss: 0.3889 | Dev loss: 2.4915 | Time: 5.3s
  Epoch 18/20 | Train loss: 0.3362 | Dev loss: 2.5256 | Time: 5.5s
  Epoch 19/20 | Train loss: 0.2943 | Dev loss: 2.5780 | Time: 5.3s
  Epoch 20/20 | Train loss: 0.2587 | Dev loss: 2.6050 | Time: 5.4s

  Test loss: 2.5178
  Computing exact match on test set...
  Exact match accuracy: 0.00%

  >> depth=1: train=0.2587 | dev=2.6050 | test=2.5178 | exact_match=0.0%

============================================================
PyTorch: Training depth=1, d_model=512, d_ff=2048
============================================================
  Parameters: 12,457,334
  Epoch  1/20 | Train loss: 3.9877 | Dev loss: 3.1145 | Time: 10.3s
  Epoch  2/20 | Train loss: 2.7641 | Dev loss: 2.6897 | Time: 10.4s
  Epoch  3/20 | Train loss: 2.2233 | Dev loss: 2.4287 | Time: 10.4s
  Epoch  4/20 | Train loss: 1.7913 | Dev loss: 2.2463 | Time: 10.4s
  Epoch  5/20 | Train loss: 1.4367 | Dev loss: 2.1496 | Time: 10.4s
  Epoch  6/20 | Train loss: 1.1457 | Dev loss: 2.1040 | Time: 10.3s
  Epoch  7/20 | Train loss: 0.9041 | Dev loss: 2.0758 | Time: 10.3s
  Epoch  8/20 | Train loss: 0.7149 | Dev loss: 2.0894 | Time: 10.4s
  Epoch  9/20 | Train loss: 0.5639 | Dev loss: 2.1329 | Time: 10.3s
  Epoch 10/20 | Train loss: 0.4501 | Dev loss: 2.1716 | Time: 10.4s
  Epoch 11/20 | Train loss: 0.3654 | Dev loss: 2.2138 | Time: 10.3s
  Epoch 12/20 | Train loss: 0.3041 | Dev loss: 2.2811 | Time: 10.3s
  Epoch 13/20 | Train loss: 0.2585 | Dev loss: 2.3341 | Time: 10.3s
  Epoch 14/20 | Train loss: 0.2245 | Dev loss: 2.3835 | Time: 10.3s
  Epoch 15/20 | Train loss: 0.1981 | Dev loss: 2.4755 | Time: 10.3s
  Epoch 16/20 | Train loss: 0.1793 | Dev loss: 2.4663 | Time: 10.3s
  Epoch 17/20 | Train loss: 0.1646 | Dev loss: 2.5462 | Time: 10.3s
  Epoch 18/20 | Train loss: 0.1507 | Dev loss: 2.5805 | Time: 10.4s
  Epoch 19/20 | Train loss: 0.1391 | Dev loss: 2.5994 | Time: 10.3s
  Epoch 20/20 | Train loss: 0.1330 | Dev loss: 2.6428 | Time: 10.3s

  Test loss: 2.5709
  Computing exact match on test set...
  Exact match accuracy: 0.00%

  >> depth=1: train=0.1330 | dev=2.6428 | test=2.5709 | exact_match=0.0%

============================================================
PyTorch: Training depth=1, d_model=1024, d_ff=4096
============================================================
  Parameters: 31,197,046
  Epoch  1/20 | Train loss: 3.5249 | Dev loss: 2.7662 | Time: 26.0s
  Epoch  2/20 | Train loss: 2.2898 | Dev loss: 2.3302 | Time: 26.1s
  Epoch  3/20 | Train loss: 1.6561 | Dev loss: 2.1181 | Time: 26.1s
  Epoch  4/20 | Train loss: 1.2207 | Dev loss: 2.0314 | Time: 26.1s
  Epoch  5/20 | Train loss: 0.9131 | Dev loss: 1.9729 | Time: 26.3s
  Epoch  6/20 | Train loss: 0.6932 | Dev loss: 2.0140 | Time: 26.0s
  Epoch  7/20 | Train loss: 0.5448 | Dev loss: 2.0489 | Time: 26.1s
  Epoch  8/20 | Train loss: 0.4396 | Dev loss: 2.0935 | Time: 26.3s
  Epoch  9/20 | Train loss: 0.3657 | Dev loss: 2.1320 | Time: 26.2s
  Epoch 10/20 | Train loss: 0.3134 | Dev loss: 2.1937 | Time: 26.5s
  Epoch 11/20 | Train loss: 0.2738 | Dev loss: 2.2403 | Time: 26.2s
  Epoch 12/20 | Train loss: 0.2470 | Dev loss: 2.2862 | Time: 26.1s
  Epoch 13/20 | Train loss: 0.2215 | Dev loss: 2.3389 | Time: 26.4s
  Epoch 14/20 | Train loss: 0.2034 | Dev loss: 2.4443 | Time: 26.4s
  Epoch 15/20 | Train loss: 0.1907 | Dev loss: 2.4272 | Time: 26.4s
  Epoch 16/20 | Train loss: 0.1762 | Dev loss: 2.4926 | Time: 26.5s
  Epoch 17/20 | Train loss: 0.1674 | Dev loss: 2.5161 | Time: 26.4s
  Epoch 18/20 | Train loss: 0.1574 | Dev loss: 2.5206 | Time: 26.4s
  Epoch 19/20 | Train loss: 0.1501 | Dev loss: 2.6196 | Time: 26.5s
  Epoch 20/20 | Train loss: 0.1435 | Dev loss: 2.6671 | Time: 26.5s

  Test loss: 2.5516
  Computing exact match on test set...
  Exact match accuracy: 0.00%

  >> depth=1: train=0.1435 | dev=2.6671 | test=2.5516 | exact_match=0.0%

